cod_ibge;municipio;ano;idade_media;classe_idade_media
3500105;Adamantina;2022; 41,00 ;De 39,0 a 45,9
3500204;Adolfo;2022; 40,90 ;De 39,0 a 45,9
3500303;Aguaí;2022; 35,90 ;De 35,0 a 36,9
3500402;Águas da Prata;2022; 40,90 ;De 39,0 a 45,9
3500501;Águas de Lindóia;2022; 37,90 ;De 37,0 a 38,9
3500550;Águas de Santa Bárbara;2022; 37,90 ;De 37,0 a 38,9
3500600;Águas de São Pedro;2022; 41,70 ;De 39,0 a 45,9
3500709;Agudos;2022; 36,60 ;De 35,0 a 36,9
3500758;Alambari;2022; 35,30 ;De 35,0 a 36,9
3500808;Alfredo Marcondes;2022; 41,60 ;De 39,0 a 45,9
3500907;Altair;2022; 36,50 ;De 35,0 a 36,9
3501004;Altinópolis;2022; 38,90 ;De 37,0 a 38,9
3501103;Alto Alegre;2022; 42,00 ;De 39,0 a 45,9
3501152;Alumínio;2022; 35,20 ;De 35,0 a 36,9
3501202;Álvares Florence;2022; 44,80 ;De 39,0 a 45,9
3501301;Álvares Machado;2022; 38,60 ;De 37,0 a 38,9
3501400;Álvaro de Carvalho;2022; 33,80 ;De 31,9 a 34,9
3501509;Alvinlândia;2022; 35,70 ;De 35,0 a 36,9
3501608;Americana;2022; 38,80 ;De 37,0 a 38,9
3501707;Américo Brasiliense;2022; 34,50 ;De 31,9 a 34,9
3501806;Américo de Campos;2022; 40,90 ;De 39,0 a 45,9
3501905;Amparo;2022; 39,20 ;De 39,0 a 45,9
3502002;Analândia;2022; 37,10 ;De 37,0 a 38,9
3502101;Andradina;2022; 39,30 ;De 39,0 a 45,9
3502200;Angatuba;2022; 36,40 ;De 35,0 a 36,9
3502309;Anhembi;2022; 35,50 ;De 35,0 a 36,9
3502408;Anhumas;2022; 38,00 ;De 37,0 a 38,9
3502507;Aparecida;2022; 37,80 ;De 37,0 a 38,9
3502606;Aparecida d'Oeste;2022; 41,90 ;De 39,0 a 45,9
3502705;Apiaí;2022; 35,50 ;De 35,0 a 36,9
3502754;Araçariguama;2022; 32,80 ;De 31,9 a 34,9
3502804;Araçatuba;2022; 39,50 ;De 39,0 a 45,9
3502903;Araçoiaba da Serra;2022; 36,20 ;De 35,0 a 36,9
3503000;Aramina;2022; 38,50 ;De 37,0 a 38,9
3503109;Arandu;2022; 37,00 ;De 37,0 a 38,9
3503158;Arapeí;2022; 38,00 ;De 37,0 a 38,9
3503208;Araraquara;2022; 38,80 ;De 37,0 a 38,9
3503307;Araras;2022; 38,10 ;De 37,0 a 38,9
3503356;Arco-Íris;2022; 40,80 ;De 39,0 a 45,9
3503406;Arealva;2022; 39,90 ;De 39,0 a 45,9
3503505;Areias;2022; 35,20 ;De 35,0 a 36,9
3503604;Areiópolis;2022; 34,80 ;De 31,9 a 34,9
3503703;Ariranha;2022; 37,30 ;De 37,0 a 38,9
3503802;Artur Nogueira;2022; 35,80 ;De 35,0 a 36,9
3503901;Arujá;2022; 34,10 ;De 31,9 a 34,9
3503950;Aspásia;2022; 41,80 ;De 39,0 a 45,9
3504008;Assis;2022; 38,50 ;De 37,0 a 38,9
3504107;Atibaia;2022; 36,70 ;De 35,0 a 36,9
3504206;Auriflama;2022; 40,30 ;De 39,0 a 45,9
3504305;Avaí;2022; 36,90 ;De 35,0 a 36,9
3504404;Avanhandava;2022; 34,70 ;De 31,9 a 34,9
3504503;Avaré;2022; 37,30 ;De 37,0 a 38,9
3504602;Bady Bassitt;2022; 38,10 ;De 37,0 a 38,9
3504701;Balbinos;2022; 34,30 ;De 31,9 a 34,9
3504800;Bálsamo;2022; 40,50 ;De 39,0 a 45,9
3504909;Bananal;2022; 37,60 ;De 37,0 a 38,9
3505005;Barão de Antonina;2022; 37,30 ;De 37,0 a 38,9
3505104;Barbosa;2022; 36,00 ;De 35,0 a 36,9
3505203;Bariri;2022; 38,10 ;De 37,0 a 38,9
3505302;Barra Bonita;2022; 40,30 ;De 39,0 a 45,9
3505351;Barra do Chapéu;2022; 34,70 ;De 31,9 a 34,9
3505401;Barra do Turvo;2022; 34,60 ;De 31,9 a 34,9
3505500;Barretos;2022; 38,30 ;De 37,0 a 38,9
3505609;Barrinha;2022; 33,60 ;De 31,9 a 34,9
3505708;Barueri;2022; 33,80 ;De 31,9 a 34,9
3505807;Bastos;2022; 38,10 ;De 37,0 a 38,9
3505906;Batatais;2022; 38,40 ;De 37,0 a 38,9
3506003;Bauru;2022; 38,30 ;De 37,0 a 38,9
3506102;Bebedouro;2022; 39,20 ;De 39,0 a 45,9
3506201;Bento de Abreu;2022; 37,10 ;De 37,0 a 38,9
3506300;Bernardino de Campos;2022; 38,80 ;De 37,0 a 38,9
3506359;Bertioga;2022; 32,60 ;De 31,9 a 34,9
3506409;Bilac;2022; 39,80 ;De 39,0 a 45,9
3506508;Birigui;2022; 38,50 ;De 37,0 a 38,9
3506607;Biritiba Mirim;2022; 34,90 ;De 31,9 a 34,9
3506706;Boa Esperança do Sul;2022; 35,70 ;De 35,0 a 36,9
3506805;Bocaina;2022; 36,70 ;De 35,0 a 36,9
3506904;Bofete;2022; 36,60 ;De 35,0 a 36,9
3507001;Boituva;2022; 35,50 ;De 35,0 a 36,9
3507100;Bom Jesus dos Perdões;2022; 35,10 ;De 35,0 a 36,9
3507159;Bom Sucesso de Itararé;2022; 31,90 ;De 31,9 a 34,9
3507209;Borá;2022; 38,20 ;De 37,0 a 38,9
3507308;Boracéia;2022; 36,20 ;De 35,0 a 36,9
3507407;Borborema;2022; 39,00 ;De 39,0 a 45,9
3507456;Borebi;2022; 35,20 ;De 35,0 a 36,9
3507506;Botucatu;2022; 37,50 ;De 37,0 a 38,9
3507605;Bragança Paulista;2022; 37,20 ;De 37,0 a 38,9
3507704;Braúna;2022; 38,40 ;De 37,0 a 38,9
3507753;Brejo Alegre;2022; 38,10 ;De 37,0 a 38,9
3507803;Brodowski;2022; 37,10 ;De 37,0 a 38,9
3507902;Brotas;2022; 36,70 ;De 35,0 a 36,9
3508009;Buri;2022; 33,40 ;De 31,9 a 34,9
3508108;Buritama;2022; 38,50 ;De 37,0 a 38,9
3508207;Buritizal;2022; 39,00 ;De 39,0 a 45,9
3508306;Cabrália Paulista;2022; 37,00 ;De 37,0 a 38,9
3508405;Cabreúva;2022; 33,90 ;De 31,9 a 34,9
3508504;Caçapava;2022; 37,00 ;De 37,0 a 38,9
3508603;Cachoeira Paulista;2022; 37,50 ;De 37,0 a 38,9
